param,value,score,win,w1,w2,w3,w4,w5,w6,w7,w8,GAP
w1,14.3,535.0,True,14.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,14.4,552.0,True,14.4,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,14.5,539.0,True,14.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,14.600000000000001,556.0,True,14.600000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,14.700000000000001,520.0,True,14.700000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,14.8,552.0,True,14.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,14.9,-496.0,False,14.9,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,15.0,514.0,True,15.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,15.100000000000001,564.0,True,15.100000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,15.200000000000001,561.0,True,15.200000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,15.3,557.0,True,15.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,15.4,515.0,True,15.4,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,15.5,561.0,True,15.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,15.600000000000001,558.0,True,15.600000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,15.700000000000001,560.0,True,15.700000000000001,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,15.8,553.0,True,15.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,15.9,544.0,True,15.9,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,16.0,564.0,True,16.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,16.1,563.0,True,16.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,16.2,501.0,True,16.2,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,16.3,549.0,True,16.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,16.400000000000002,532.0,True,16.400000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,16.5,535.0,True,16.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,16.6,531.0,True,16.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,16.7,509.0,True,16.7,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,16.8,546.0,True,16.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,16.900000000000002,560.0,True,16.900000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,17.0,549.0,True,17.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,17.1,525.0,True,17.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,17.2,512.0,True,17.2,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,17.3,558.0,True,17.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,17.400000000000002,564.0,True,17.400000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,17.5,546.0,True,17.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,17.6,550.0,True,17.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,17.7,556.0,True,17.7,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,17.8,564.0,True,17.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,17.900000000000002,532.0,True,17.900000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,18.0,555.0,True,18.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,18.1,561.0,True,18.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,18.2,564.0,True,18.2,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,18.3,560.0,True,18.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,18.400000000000002,529.0,True,18.400000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,18.5,531.0,True,18.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,18.6,556.0,True,18.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,18.7,564.0,True,18.7,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,18.8,556.0,True,18.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,18.900000000000002,564.0,True,18.900000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,19.0,-470.0,False,19.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,19.1,553.0,True,19.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,19.200000000000003,561.0,True,19.200000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,19.3,557.0,True,19.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,19.400000000000002,562.0,True,19.400000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,19.5,557.0,True,19.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,19.6,539.0,True,19.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,19.700000000000003,564.0,True,19.700000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,19.8,556.0,True,19.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,19.900000000000002,540.0,True,19.900000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,20.0,540.0,True,20.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,20.1,535.0,True,20.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,20.200000000000003,514.0,True,20.200000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,20.3,-546.0,False,20.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,20.400000000000002,-658.0,False,20.400000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,20.5,-524.0,False,20.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,20.6,-506.0,False,20.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,20.700000000000003,-632.0,False,20.700000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,20.8,-576.0,False,20.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,20.900000000000002,332.0,True,20.900000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,21.0,-604.0,False,21.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,21.1,-590.0,False,21.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,21.200000000000003,-586.0,False,21.200000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,21.3,481.0,True,21.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,21.400000000000002,421.0,True,21.400000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,21.5,-642.0,False,21.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,21.6,446.0,True,21.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,21.700000000000003,465.0,True,21.700000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,21.8,453.0,True,21.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,21.900000000000002,-562.0,False,21.900000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,22.0,-566.0,False,22.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,22.1,-542.0,False,22.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,22.200000000000003,347.0,True,22.200000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,22.3,-506.0,False,22.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,22.400000000000002,85.0,True,22.400000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,22.5,-504.0,False,22.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,22.6,318.0,True,22.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,22.700000000000003,-606.0,False,22.700000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,22.8,-564.0,False,22.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,22.900000000000002,-796.0,False,22.900000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,23.0,-536.0,False,23.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,23.1,497.0,True,23.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,23.200000000000003,445.0,True,23.200000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,23.3,-552.0,False,23.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,23.400000000000002,-630.0,False,23.400000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,23.5,-546.0,False,23.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,23.6,-506.0,False,23.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,23.700000000000003,-598.0,False,23.700000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,23.8,-590.0,False,23.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,23.900000000000002,-534.0,False,23.900000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,24.0,429.0,True,24.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,24.1,-746.0,False,24.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,24.200000000000003,517.0,True,24.200000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,24.3,475.0,True,24.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,24.400000000000002,-604.0,False,24.400000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,24.5,-624.0,False,24.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,24.6,-652.0,False,24.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,24.700000000000003,233.0,True,24.700000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,24.8,-626.0,False,24.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,24.900000000000002,-662.0,False,24.900000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,25.0,-544.0,False,25.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,25.1,489.0,True,25.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,25.200000000000003,-510.0,False,25.200000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,25.3,-640.0,False,25.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,25.400000000000002,-558.0,False,25.400000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,25.5,445.0,True,25.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,25.6,341.0,True,25.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,25.700000000000003,513.0,True,25.700000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,25.8,-548.0,False,25.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,25.900000000000002,-734.0,False,25.900000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,26.0,389.0,True,26.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,26.1,443.0,True,26.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,26.200000000000003,-510.0,False,26.200000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,26.3,437.0,True,26.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,26.400000000000002,-556.0,False,26.400000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,26.5,426.0,True,26.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,26.6,-666.0,False,26.6,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,26.700000000000003,-590.0,False,26.700000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,26.8,355.0,True,26.8,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,26.900000000000002,-700.0,False,26.900000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,27.0,-498.0,False,27.0,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,27.1,445.0,True,27.1,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,27.200000000000003,321.0,True,27.200000000000003,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,27.3,435.0,True,27.3,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,27.400000000000002,393.0,True,27.400000000000002,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
w1,27.5,409.0,True,27.5,0.1,0.5,1.0,2.0,200.0,2.0,0.0,2
