trial,score,win,w1,w2,w3,w4,w5,w6,w7,w8,GAP
33,526.0,True,3.5576384220654185,0.06003014323342454,0.7818561354685769,3.275834526351193,1.5120468025452842,29.053035648175406,3.6599989382057685,1.721416457257167,3
34,-556.0,False,2.093205750580272,0.19812413850263777,1.951797572168251,3.01580747679023,3.535443012099156,153.0044674891644,4.413318401045606,1.8598071047419222,4
35,532.0,True,3.3917160682183587,0.2574074437280556,1.243532686064341,3.7828074493726156,1.2823080217067901,346.03688157814094,0.8116111554383115,0.2050791711462825,2
36,522.0,True,4.704712919532056,0.4935500476448873,1.8418157464558471,4.3683518110695445,2.8977939064325398,465.866582113684,4.634712204341957,0.7778324641424144,4
37,536.0,True,3.1949359095614933,0.36534586710521255,1.3612112515797152,2.0979405466047707,2.881656413801962,443.1608346342672,1.5680476064199833,1.7158492338443994,2
38,-508.0,False,2.4042524199560122,0.1349012125634919,1.9592190197423072,1.4517204916290387,1.3649458615679695,342.15904652669474,1.4184879438819116,0.44031704596188037,4
39,482.0,True,0.19353032852749585,0.31352947490452654,1.6817055581898552,4.2985028991343555,2.2905240380652714,303.4633641242048,4.196605511781782,1.371140972862873,3
40,548.0,True,0.27091953531266755,0.18881909411219777,0.6659788100857658,4.980283380240998,0.2166439611366905,123.63881285294187,0.2349172978323416,0.6353356834944155,2
41,-452.0,False,4.139771798829763,0.365149353995014,0.1990651473995657,1.8065360996121909,4.074485158790898,184.8103791345354,3.278962583430301,0.8916932496147953,1
42,564.0,True,1.4583659399223632,0.1948688607710538,1.6311938363853014,0.9214042416804491,2.617620753374025,342.4825892232165,1.3430597769803603,0.5545693834048333,1
43,548.0,True,4.225149746033161,0.21763594466457586,1.748191063348932,1.4015662772159332,3.8044707072893975,495.0240521964629,1.438436158292555,0.48292116579159683,2
44,530.0,True,4.685716335659732,0.2421913268004212,1.3535933351101936,1.8250305026241702,0.11864956972623908,374.55240743972877,4.674022608055139,0.5310790453581511,3
45,530.0,True,2.7506438364159087,0.29222260012183393,0.9521784840924414,3.2595476272536987,4.18919331000118,18.31155013024699,4.6573814021539945,1.8046511573082282,3
46,474.0,True,2.0464188836631565,0.03961709022146637,1.763029718825678,3.757252730177151,2.5721790038205454,348.5107125576706,1.747452776653966,0.5736954448919174,3
47,546.0,True,0.3955132973728326,0.4565973048357044,0.521761804343132,0.3332244035132603,1.7674638239463136,266.33106052461915,3.161296744624355,0.8800822126654801,3
48,445.0,True,0.49485544786249613,0.4336445834285609,0.5614782897380381,1.0323971024025762,3.185135983253569,159.78376147061002,3.31123997612253,1.6801603055123489,2
49,564.0,True,1.2548309155862047,0.29286023099309805,0.8099597866806849,1.7826153383758037,0.39770370020661694,239.92011340987335,0.07049929037419078,0.3859002222483907,2
50,514.0,True,3.8312948775206794,0.20329770697351635,1.1771318378055142,3.0847126872274826,0.4408649587167557,232.50821193864456,3.5359466431811666,1.4562423679892287,2
51,524.0,True,4.202565939993558,0.04238715124215736,1.5367472946045877,3.634845138523783,3.2726309149142074,215.6689448524511,4.565075803964308,1.1958486682272422,1
52,564.0,True,1.6988699468651043,0.2739425330364371,0.8550761311129507,3.9878855892397373,4.97272915972907,174.2294503417359,2.0771800366672033,1.3810990674799761,1
53,-496.0,False,1.020173128418393,0.3427099980054858,1.645236743835093,2.007911790896368,0.8424356238677028,9.727664984137462,2.417140782410349,1.8317771484234824,4
54,562.0,True,2.178632183669014,0.43002809582708135,0.531744082923868,0.8951954886049579,2.3777455050864518,206.48093350652968,0.6853435144877235,1.9813063262435204,1
55,524.0,True,0.5699968772223207,0.4326754111185135,0.9249861239805597,4.105186548087337,3.2125890939660873,356.0694685734305,2.0281880253909885,0.3982013198798857,3
56,436.0,True,0.23858684995441304,0.4510019356591021,0.5393418845424478,3.5435150696353244,0.2978929087663329,488.2902154680174,2.9921864554151885,0.09830988349511349,3
57,540.0,True,2.2523083370456214,0.14305518937337008,0.0354688726124095,1.5096903063036509,4.27665155755566,334.7360091498408,4.924463172613777,1.5380829663109197,2
58,540.0,True,2.9287397100928363,0.06192917610336157,0.8254324046715316,0.8522388402743919,4.233486488621082,29.98021648799698,3.2146371205168824,0.23361795662840246,3
59,-508.0,False,2.0120725178027667,0.12026772967260746,0.6470011451945348,3.723068989706364,0.05860797797071993,378.21632856186307,2.6417637036906334,0.030756790439258275,4
60,544.0,True,3.5366528636175305,0.3129334432581224,1.1124211548755667,3.7969553447402475,1.2850229341209285,440.9384493676475,2.7657644326834268,0.1124218185635808,4
61,547.0,True,3.6874435043067395,0.07782613209491762,1.418540483537349,0.7296636747908231,0.3197427951377152,308.5248053749469,2.454428091145485,0.5106344071965689,2
62,428.0,True,0.7568061463653142,0.33550907456348694,1.543294051952019,3.131813569211221,4.350154822797447,286.7290860700711,1.976501653162357,0.20969332176161481,3
63,562.0,True,3.1841003564712085,0.21875569578878507,1.2595704991473369,3.437385428979838,4.311642361293403,281.1739440472382,3.554259289202541,0.2915231591381484,2
64,514.0,True,0.7383666015090001,0.44756836691769664,0.6901002161848815,2.6166454652283027,3.460165160306195,346.9421245479372,4.918587344200334,1.7241253832377037,4
65,533.0,True,4.008004328273684,0.23168275090496432,0.6529988409294574,3.6940218452832823,4.295081733096149,442.9160338159658,4.335085214422824,1.8848578960081253,2
66,-488.0,False,2.9259662589829434,0.3220171395088511,1.4798779720069606,4.68850298267602,2.4493711951655577,488.6218470352781,3.0490412052484857,1.1237532254895282,4
67,-514.0,False,4.690300297844755,0.36604114320698417,1.5824527408175293,4.151212686479683,4.548239274215229,320.31194000786275,0.054939289494376764,0.7465679273787678,4
68,-502.0,False,3.930626009954435,0.2316910969331346,0.17903276208282715,4.946942949652918,4.860584857351727,76.22368143433495,0.7613455894285376,1.6229420511608283,4
69,550.0,True,0.9928970666754039,0.265806817588148,1.8928717367425656,2.9579768063128418,2.3084585160946003,388.21638659189637,4.259180650421261,0.8070463630009872,3
70,520.0,True,4.46989579401038,0.221345366736736,0.9389855496024475,0.4792763121734628,1.3345430259775597,469.816658468391,4.458178292760087,0.8215729901556568,3
71,-470.0,False,2.2311799781884565,0.16521103939558446,1.7248243087798762,3.8945138575558023,4.653880713119053,46.843764281276954,4.30115052089061,0.2829091284482137,4
72,-468.0,False,4.6297467008512205,0.33870125414357893,1.4468835283714654,3.604951896239397,4.623466444681643,290.77263022304595,0.4113769565487513,0.8109635174333978,1
73,542.0,True,1.4968888610017612,0.3112941166701489,1.3197528191423273,4.121257405933752,0.1099367763222181,385.94581939763964,3.4968407538406643,0.12756944458404673,3
74,564.0,True,2.4992896095849435,0.12961142397804565,0.388584990983442,4.600686399958834,0.9338212445095961,251.64698645923417,4.30959174315213,1.865692440418518,1
